name,phone_number,address,zip_code,city,cuisine,is_fast_food,is_breakfast
WEST 94TH ST PUB,(919) 403-0025,4711 HOPE VALLEY RD,27707,DURHAM,American,false,false
WENDY'S 6316,(919) 471-3401,3814 N DUKE ST,27704,DURHAM,American,true,false
CHEF'S HOUSE,(919) 660-6318,1058 W CLUB BLVD SUITE 564,27701,DURHAM,American,true,false
STARBUCK'S,(919) 293-0232,4834 NC HWY 55,27713,DURHAM,Coffee,true,true
TOKYO EXPRESS,(919) 477-4488,3225 GUESS RD,27705,DURHAM,Asian,false,false
MELO TRATORIA & TAPAS,(919) 384-9080,1821 HILLANDALE ROAD,27705,DURHAM,Mexican,false,false
SUBWAY AT WOODCROFT,(919) 419-0078,4711 HOPE VALLEY RD.,27707,DURHAM,American,true,false
JERSEY MIKES SUBS,(919) 484-7788,2945 S MIAMI BLVD UNIT 101,27703,DURHAM,American,true,false
LILI'S KITCHEN,(919) 600-2285,2104 ANGIER AVE JOE’S COMMISSARY,27703,DURHAM,American,true,false
BO'S KITCHEN,(919) 793-5493,2945 S MIAMI BLVD STE 127 V'S KITCHEN,27703,DURHAM,American,true,false
JC'S KITCHEN,(919) 477-8830,706 E. MAIN ST.,27701,DURHAM,American,false,false
LOS TRES MEXICAN RESTAURANT,(919) 544-9247,6905 FAYETTEVILLE ROAD,27713,DURHAM,Mexican,false,false
BLUE RIDGE DELI AND CAFE,(919) 361-0414,3530 S ALSTON AVENUE,27713,DURHAM,Coffee,true,true
FREDDY'S FROZEN CUSTARD AND STEAKBURGERS,(919) 680-2111,3303 WATKINS ROAD,27707,DURHAM,American,false,false
CHINA CAFE,(919) 544-5561,247 W HWY 54,27713,DURHAM,Asian,false,false
BURGER KING 9653,(919) 403-1741,4829 HOPE VALLEY RD,27707,DURHAM,American,true,false
DANISH MEXICAN RESTAURANT,(919) 627-3715,"902 FAYETTEVILLE ST, STE 205",27701,DURHAM,Mexican,true,false
FRESH FROM THE KITCHEN,(919) 740-3656,1101 W CHAPEL HILL ST,27701,DURHAM,American,true,false
CRISPY GYOZA,(919) 455-5537,1102 HOLLOWAY ST,27703,DURHAM,Asian,true,false
EL CUSCATLECO,(919) 401-5245,4212 GARRETT ROAD,27707,DURHAM,Mexican,false,false
"QUIZNO'S SUBS #1756",(919) 941-7700,5311 E SOUTH MIAMI BLVD,27703,DURHAM,American,true,false
M & K'S COFFEE AND CAFE,(919) 219-2734,5108 WAKE FOREST HWY,27704,DURHAM,Coffee,false,true
THE REFECTORY CAFE,(919) 908-6797,2726 CHAPEL HILL BLVD,27707,DURHAM,Coffee,false,true
BAJA SHACK,(919) 908-9468,1058 CLUB BLVD SUITE 540,27701,DURHAM,American,true,false
TACOLANDIA,(919) 986-5670,2104 ANGIER AVE JOE’S COMMISSARY,27703,DURHAM,Mexican,true,false
CHICK-FIL-A,(919) 620-0897,3912 N ROXBORO ROAD,27704,DURHAM,American,true,false
